Mês;Preço;Taxa de variação
01/12/2015;1,08;-
01/01/2016;0,93;-14,05%
01/02/2016;0,97;4,62%
01/03/2016;1,07;9,87%
01/04/2016;1,15;7,30%
01/05/2016;1,3;13,25%
01/06/2016;1,38;6,39%
01/07/2016;1,27;-7,96%
01/08/2016;1,3;1,81%
01/09/2016;1,32;1,85%
01/10/2016;1,46;10,46%
01/11/2016;1,36;-6,93%
01/12/2016;1,49;9,96%
01/01/2017;1,51;1,54%
01/02/2017;1,55;2,18%
01/03/2017;1,45;-6,59%
01/04/2017;1,51;4,50%
01/05/2017;1,41;-6,49%
01/06/2017;1,3;-8,29%
01/07/2017;1,42;9,42%
01/08/2017;1,56;10,16%
01/09/2017;1,8;15,31%
01/10/2017;1,66;-7,83%
01/11/2017;1,76;6,09%
01/12/2017;1,82;3,24%
01/01/2018;1,95;7,43%
01/02/2018;1,85;-5,28%
01/03/2018;1,86;0,49%
01/04/2018;2,02;8,45%
01/05/2018;2,16;6,95%
01/06/2018;2,09;-3,02%
01/07/2018;2,1;0,38%
01/08/2018;2,12;0,95%
01/09/2018;2,19;3,35%
01/10/2018;2,25;2,74%
01/11/2018;1,95;-13,52%
01/12/2018;1,7;-12,80%
01/01/2019;1,78;5,19%
01/02/2019;1,91;7,29%
01/03/2019;1,9;-0,63%
01/04/2019;1,98;3,94%
01/05/2019;1,97;-0,25%
01/06/2019;1,82;-7,86%
01/07/2019;1,91;5,28%
01/08/2019;1,8;-5,91%
01/09/2019;1,88;4,28%
01/10/2019;1,86;-0,85%
01/11/2019;1,82;-1,99%
01/12/2019;1,89;3,78%
01/01/2020;1,78;-6,13%
01/02/2020;1,51;-15,08%
01/03/2020;0,95;-36,85%
01/04/2020;0,61;-36,41%
01/05/2020;0,69;13,20%
01/06/2020;0,98;43,29%
01/07/2020;1,08;10,27%
01/08/2020;1,11;2,58%
01/09/2020;1,01;-9,53%
01/10/2020;1,05;4,08%
01/11/2020;1,13;8,21%
