Data Venda;Canal de Venda;Local de Venda;PAX;Monetário Vendido;RPK
01/11/2016;Telégrafo;Mindscape;30;2188,11;3476
01/11/2016;TeleVenda;Arena;52;3302,38;8197
01/11/2016;TeleVenda;Mindscape;19;1041,54;2425
01/11/2016;Porta a Porta;Mindscape;496;15566,34;53278
01/11/2016;TeleVenda;Vast;46;2721,43;2039
01/11/2016;TeleVenda;Arena;485;19002,65;66096
01/11/2016;TeleVenda;Vast;701;11588,27;30866
01/11/2016;Telégrafo;Arena;39;3538,39;5471
01/11/2016;TeleVenda;Ellipsis;44;2277,59;2788
01/11/2016;Porta a Porta;Vast;910;14451,8;40112
01/11/2016;Telégrafo;Ellipsis;18;1187,12;1127
01/11/2016;TeleVenda;Mindscape;425;12875,54;48274
01/11/2016;Porta a Porta;Ellipsis;383;9065,62;20355
01/11/2016;Telégrafo;Vast;47;3244,38;2055
01/11/2016;TeleVenda;Ellipsis;406;9846,59;22846
01/11/2016;Porta a Porta;Arena;437;18994,87;58074
02/11/2016;TeleVenda;Ellipsis;1007;29177,23;54696
02/11/2016;Porta a Porta;Arena;900;42869,44;119470
02/11/2016;TeleVenda;Mindscape;1029;39705,82;122484
02/11/2016;TeleVenda;Arena;166;11210,85;25105
02/11/2016;Porta a Porta;Vast;1451;28139,79;63743
02/11/2016;Telégrafo;Vast;70;4766,68;3312
02/11/2016;Porta a Porta;Ellipsis;757;20897,44;41533
02/11/2016;Telégrafo;Ellipsis;65;4097,49;3679
02/11/2016;TeleVenda;Arena;1397;60879,21;194489
02/11/2016;Telégrafo;Mindscape;79;7312,08;10169
02/11/2016;TeleVenda;Vast;178;10462,44;8409
02/11/2016;Telégrafo;Arena;105;7222,1;14970
02/11/2016;TeleVenda;Ellipsis;147;9058,08;9326
02/11/2016;Porta a Porta;Mindscape;778;28082,07;87943
02/11/2016;TeleVenda;Vast;1526;34605,49;68615
02/11/2016;TeleVenda;Mindscape;75;4606,27;9320
03/11/2016;Telégrafo;Arena;133;9497,26;19555
03/11/2016;TeleVenda;Arena;1853;81680,52;265375
03/11/2016;Telégrafo;Mindscape;83;6103,5;10207
03/11/2016;Porta a Porta;Mindscape;987;38006,29;115339
03/11/2016;TeleVenda;Mindscape;116;7124,93;14900
03/11/2016;Porta a Porta;Arena;1071;50346,68;147561
03/11/2016;Telégrafo;Vast;103;9951,66;4291
03/11/2016;Telégrafo;Ellipsis;62;4731,81;3853
03/11/2016;TeleVenda;Ellipsis;196;11203,45;12031
03/11/2016;TeleVenda;Vast;1590;42061,29;73115
03/11/2016;Porta a Porta;Ellipsis;907;25287,19;50452
03/11/2016;TeleVenda;Mindscape;1323;53584,29;161499
03/11/2016;TeleVenda;Vast;241;13937,55;11363
03/11/2016;TeleVenda;Arena;225;15123,17;35136
03/11/2016;Porta a Porta;Vast;1236;28653,79;54957
03/11/2016;TeleVenda;Ellipsis;1290;38648,56;72082
04/11/2016;TeleVenda;Arena;230;17169,35;35959
04/11/2016;Telégrafo;Mindscape;63;4058,28;7881
04/11/2016;TeleVenda;Mindscape;1386;56763,13;167333
04/11/2016;Telégrafo;Ellipsis;53;3053,8;3069
04/11/2016;TeleVenda;Ellipsis;1323;40750,15;71350
04/11/2016;Porta a Porta;Mindscape;775;32887,88;91049
04/11/2016;Porta a Porta;Arena;811;41946,07;111228
04/11/2016;Porta a Porta;Vast;1276;29869,22;57466
04/11/2016;Telégrafo;Vast;69;3246,93;3101
04/11/2016;TeleVenda;Ellipsis;201;11849,65;12260
04/11/2016;TeleVenda;Mindscape;112;8420,15;13803
04/11/2016;Telégrafo;Arena;96;6177,17;13854
04/11/2016;TeleVenda;Vast;268;16008,92;12726
04/11/2016;TeleVenda;Vast;1821;49891,14;85367
04/11/2016;Porta a Porta;Ellipsis;801;24685,48;44913
04/11/2016;TeleVenda;Arena;1685;76421,73;236866
05/11/2016;TeleVenda;Mindscape;1378;60813,49;164710
05/11/2016;Telégrafo;Ellipsis;42;2695,44;2399
05/11/2016;TeleVenda;Arena;206;15726,53;32153
05/11/2016;Porta a Porta;Vast;1314;30005,76;61962
05/11/2016;Porta a Porta;Mindscape;877;34594,72;98153
05/11/2016;TeleVenda;Vast;248;17884,15;11969
05/11/2016;TeleVenda;Vast;1759;51527,72;83545
05/11/2016;Porta a Porta;Arena;1054;51639,88;148127
05/11/2016;Telégrafo;Mindscape;75;6437,64;10241
05/11/2016;TeleVenda;Ellipsis;1294;42059,42;71453
05/11/2016;TeleVenda;Mindscape;111;8197,12;13306
05/11/2016;Porta a Porta;Ellipsis;840;25932,48;45562
05/11/2016;TeleVenda;Ellipsis;205;14217,04;12101
05/11/2016;Telégrafo;Arena;132;8209,86;19013
05/11/2016;Telégrafo;Vast;72;3545,32;3173
05/11/2016;TeleVenda;Arena;1993;90636,16;291898
06/11/2016;TeleVenda;Arena;185;14537,45;28811
06/11/2016;Porta a Porta;Arena;1078;50722,96;147535
06/11/2016;TeleVenda;Ellipsis;215;14133,68;12652
06/11/2016;TeleVenda;Mindscape;114;8143,06;14202
06/11/2016;Telégrafo;Vast;75;2130,13;3582
06/11/2016;TeleVenda;Vast;255;16764,3;12395
06/11/2016;TeleVenda;Arena;2290;95390,18;331083
06/11/2016;Porta a Porta;Mindscape;856;32680,6;96071
06/11/2016;Porta a Porta;Ellipsis;699;22611,63;38550
06/11/2016;TeleVenda;Mindscape;1515;61535,42;182888
