Data Venda;Canal de Venda;Local de Venda;PAX;Monetário Vendido;RPK;Preço Jet Fuel;Taxa de Desemprego Brasil
01/11/2016;Telégrafo;Mindscape;30;2188,11;3476;1,36;9.5
01/11/2016;TeleVenda;Arena;52;3302,38;8197;1,36;9.5
01/11/2016;TeleVenda;Mindscape;19;1041,54;2425;1,36;9.5
01/11/2016;Porta a Porta;Mindscape;496;15566,34;53278;1,36;9.5
01/11/2016;TeleVenda;Vast;46;2721,43;2039;1,36;9.5
01/11/2016;TeleVenda;Arena;485;19002,65;66096;1,36;9.5
01/11/2016;TeleVenda;Vast;701;11588,27;30866;1,36;9.5
01/11/2016;Telégrafo;Arena;39;3538,39;5471;1,36;9.5
01/11/2016;TeleVenda;Ellipsis;44;2277,59;2788;1,36;9.5
01/11/2016;Porta a Porta;Vast;910;14451,8;40112;1,36;9.5
01/11/2016;Telégrafo;Ellipsis;18;1187,12;1127;1,36;9.5
01/11/2016;TeleVenda;Mindscape;425;12875,54;48274;1,36;9.5
01/11/2016;Porta a Porta;Ellipsis;383;9065,62;20355;1,36;9.5
01/11/2016;Telégrafo;Vast;47;3244,38;2055;1,36;9.5
01/11/2016;TeleVenda;Ellipsis;406;9846,59;22846;1,36;9.5
01/11/2016;Porta a Porta;Arena;437;18994,87;58074;1,36;9.5
02/11/2016;TeleVenda;Ellipsis;1007;29177,23;54696;1,36;9.5
02/11/2016;Porta a Porta;Arena;900;42869,44;119470;1,36;9.5
02/11/2016;TeleVenda;Mindscape;1029;39705,82;122484;1,36;9.5
02/11/2016;TeleVenda;Arena;166;11210,85;25105;1,36;9.5
02/11/2016;Porta a Porta;Vast;1451;28139,79;63743;1,36;9.5
02/11/2016;Telégrafo;Vast;70;4766,68;3312;1,36;9.5
02/11/2016;Porta a Porta;Ellipsis;757;20897,44;41533;1,36;9.5
02/11/2016;Telégrafo;Ellipsis;65;4097,49;3679;1,36;9.5
02/11/2016;TeleVenda;Arena;1397;60879,21;194489;1,36;9.5
02/11/2016;Telégrafo;Mindscape;79;7312,08;10169;1,36;9.5
02/11/2016;TeleVenda;Vast;178;10462,44;8409;1,36;9.5
02/11/2016;Telégrafo;Arena;105;7222,1;14970;1,36;9.5
02/11/2016;TeleVenda;Ellipsis;147;9058,08;9326;1,36;9.5
02/11/2016;Porta a Porta;Mindscape;778;28082,07;87943;1,36;9.5
02/11/2016;TeleVenda;Vast;1526;34605,49;68615;1,36;9.5
02/11/2016;TeleVenda;Mindscape;75;4606,27;9320;1,36;9.5
03/11/2016;Telégrafo;Arena;133;9497,26;19555;1,36;9.5
03/11/2016;TeleVenda;Arena;1853;81680,52;265375;1,36;9.5
03/11/2016;Telégrafo;Mindscape;83;6103,5;10207;1,36;9.5
03/11/2016;Porta a Porta;Mindscape;987;38006,29;115339;1,36;9.5
03/11/2016;TeleVenda;Mindscape;116;7124,93;14900;1,36;9.5
03/11/2016;Porta a Porta;Arena;1071;50346,68;147561;1,36;9.5
03/11/2016;Telégrafo;Vast;103;9951,66;4291;1,36;9.5
03/11/2016;Telégrafo;Ellipsis;62;4731,81;3853;1,36;9.5
03/11/2016;TeleVenda;Ellipsis;196;11203,45;12031;1,36;9.5
03/11/2016;TeleVenda;Vast;1590;42061,29;73115;1,36;9.5
03/11/2016;Porta a Porta;Ellipsis;907;25287,19;50452;1,36;9.5
03/11/2016;TeleVenda;Mindscape;1323;53584,29;161499;1,36;9.5
03/11/2016;TeleVenda;Vast;241;13937,55;11363;1,36;9.5
03/11/2016;TeleVenda;Arena;225;15123,17;35136;1,36;9.5
03/11/2016;Porta a Porta;Vast;1236;28653,79;54957;1,36;9.5
03/11/2016;TeleVenda;Ellipsis;1290;38648,56;72082;1,36;9.5
04/11/2016;TeleVenda;Arena;230;17169,35;35959;1,36;9.5
04/11/2016;Telégrafo;Mindscape;63;4058,28;7881;1,36;9.5
04/11/2016;TeleVenda;Mindscape;1386;56763,13;167333;1,36;9.5
04/11/2016;Telégrafo;Ellipsis;53;3053,8;3069;1,36;9.5
04/11/2016;TeleVenda;Ellipsis;1323;40750,15;71350;1,36;9.5
04/11/2016;Porta a Porta;Mindscape;775;32887,88;91049;1,36;9.5
04/11/2016;Porta a Porta;Arena;811;41946,07;111228;1,36;9.5
04/11/2016;Porta a Porta;Vast;1276;29869,22;57466;1,36;9.5
04/11/2016;Telégrafo;Vast;69;3246,93;3101;1,36;9.5
04/11/2016;TeleVenda;Ellipsis;201;11849,65;12260;1,36;9.5
04/11/2016;TeleVenda;Mindscape;112;8420,15;13803;1,36;9.5
04/11/2016;Telégrafo;Arena;96;6177,17;13854;1,36;9.5
04/11/2016;TeleVenda;Vast;268;16008,92;12726;1,36;9.5
04/11/2016;TeleVenda;Vast;1821;49891,14;85367;1,36;9.5
04/11/2016;Porta a Porta;Ellipsis;801;24685,48;44913;1,36;9.5
04/11/2016;TeleVenda;Arena;1685;76421,73;236866;1,36;9.5
05/11/2016;TeleVenda;Mindscape;1378;60813,49;164710;1,36;9.5
05/11/2016;Telégrafo;Ellipsis;42;2695,44;2399;1,36;9.5
05/11/2016;TeleVenda;Arena;206;15726,53;32153;1,36;9.5
05/11/2016;Porta a Porta;Vast;1314;30005,76;61962;1,36;9.5
05/11/2016;Porta a Porta;Mindscape;877;34594,72;98153;1,36;9.5
05/11/2016;TeleVenda;Vast;248;17884,15;11969;1,36;9.5
05/11/2016;TeleVenda;Vast;1759;51527,72;83545;1,36;9.5
05/11/2016;Porta a Porta;Arena;1054;51639,88;148127;1,36;9.5
05/11/2016;Telégrafo;Mindscape;75;6437,64;10241;1,36;9.5
05/11/2016;TeleVenda;Ellipsis;1294;42059,42;71453;1,36;9.5
05/11/2016;TeleVenda;Mindscape;111;8197,12;13306;1,36;9.5
05/11/2016;Porta a Porta;Ellipsis;840;25932,48;45562;1,36;9.5
05/11/2016;TeleVenda;Ellipsis;205;14217,04;12101;1,36;9.5
05/11/2016;Telégrafo;Arena;132;8209,86;19013;1,36;9.5
05/11/2016;Telégrafo;Vast;72;3545,32;3173;1,36;9.5
05/11/2016;TeleVenda;Arena;1993;90636,16;291898;1,36;9.5
06/11/2016;TeleVenda;Arena;185;14537,45;28811;1,36;9.5
06/11/2016;Porta a Porta;Arena;1078;50722,96;147535;1,36;9.5
06/11/2016;TeleVenda;Ellipsis;215;14133,68;12652;1,36;9.5
06/11/2016;TeleVenda;Mindscape;114;8143,06;14202;1,36;9.5
06/11/2016;Telégrafo;Vast;75;2130,13;3582;1,36;9.5
06/11/2016;TeleVenda;Vast;255;16764,3;12395;1,36;9.5
